Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Perilli,Portiere,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vasquez D.,Portiere,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Nunziante,Portiere,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Lezzerini,Portiere,Fiorentina,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Silvestri,Portiere,Cremonese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Rog,Centrocampista,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Adzic,Centrocampista,Juventus,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ilkhan,Centrocampista,Torino,5.00,5.00,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Cuenca H.,Centrocampista,Genoa,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Vergara,Centrocampista,Napoli,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Toniolo,Portiere,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Kouadio,Difensore,Fiorentina,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Britschgi,Difensore,Parma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Cavlina,Portiere,Como,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Balentien,Attaccante,Milan,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Ambrosino,Attaccante,Napoli,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Rodriguez Ju.,Difensore,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Gueye,Attaccante,Udinese,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Akpa Akpro,Centrocampista,Verona,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Palacios T.,Difensore,Inter,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Arena A.,Attaccante,Roma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Ilic M.,Difensore,Bologna,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,False
