Nome,Ruolo,Squadra,Media,FantaMedia,>= 6,MotM,Con voto,Senza voto,G,R,Reti,Rigori,Assist,Rigori sbagliati,Autogoal,Goal subiti,Rigori parati,Attivo
Kuhn,Attaccante,Como,5.50,5.50,0,0,1,1,0,0,0,0,0,0,0,0,0,True
Vandeputte,Centrocampista,Cremonese,6.50,7.00,2,0,2,0,0,0,0,0,1,0,0,0,0,True
Frattesi,Centrocampista,Inter,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Bremer,Difensore,Juventus,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Locatelli,Centrocampista,Juventus,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Isaksen,Centrocampista,Lazio,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Pedro,Attaccante,Lazio,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Modric,Centrocampista,Milan,6.50,7.00,2,0,2,0,0,0,0,0,1,0,0,0,0,True
Buongiorno,Difensore,Napoli,6.50,7.50,1,0,1,0,0,0,0,0,1,0,0,0,0,True
Neres,Centrocampista,Napoli,6.00,6.00,1,0,1,0,0,0,0,0,0,0,0,0,0,True
Pellegrino M.,Attaccante,Parma,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Adams C.,Attaccante,Torino,5.50,5.50,0,0,2,0,0,0,0,0,0,0,0,0,0,True
Davis K.,Attaccante,Udinese,6.75,8.50,1,1,2,0,1,0,0,1,1,0,0,0,0,True
Stulic,Attaccante,Lecce,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
De Roon,Centrocampista,Atalanta,6.00,5.75,1,0,2,0,1,0,0,0,0,0,0,0,0,True
Luvumbo,Attaccante,Cagliari,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Da Cunha,Centrocampista,Como,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Dodò,Difensore,Fiorentina,6.50,6.50,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Provedel,Portiere,Lazio,6.00,5.50,2,0,2,0,0,0,0,0,0,0,0,2,0,True
Tavares N.,Difensore,Lazio,5.50,5.50,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Guendouzi,Centrocampista,Lazio,6.25,7.50,1,0,2,0,1,0,1,0,0,0,0,0,0,True
Estupinan,Difensore,Milan,6.00,6.50,2,0,2,0,0,0,0,0,1,0,0,0,0,True
Saelemaekers,Centrocampista,Milan,6.25,6.25,2,0,2,0,0,0,0,0,0,0,0,0,0,True
Ondrejka,Centrocampista,Parma,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Tramoni M.,Centrocampista,Pisa,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Casadei,Centrocampista,Torino,6.00,6.00,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Jashari,Centrocampista,Milan,5.50,5.50,0,0,1,0,0,0,0,0,0,0,0,0,0,True
Nzola,Attaccante,Pisa,5.75,5.75,1,0,2,0,0,0,0,0,0,0,0,0,0,True
Oristanio,Centrocampista,Parma,6.50,6.00,1,0,1,0,1,0,0,0,0,0,0,0,0,True
Belotti,Attaccante,Cagliari,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Pasalic,Centrocampista,Atalanta,6.50,8.50,2,0,2,0,0,0,1,0,1,0,0,0,0,True
Samardzic,Centrocampista,Atalanta,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,True
Skorupski,Portiere,Bologna,6.00,6.00,2,0,2,0,0,0,0,0,0,0,0,1,0,True
Freuler,Centrocampista,Bologna,6.25,6.00,2,0,2,0,1,0,0,0,0,0,0,0,0,True
